,Date,Peak Generation,Daily Energy Generation,Lowest Energy Generation,Daily Energy Sent,6:00 Generation,Highest System Frequency,Lowest System Frequency,Highest Voltage Recorded,Lowest Voltage Recorded
615,2023-01-14,3877.4,88115.53,3446.8,86746.88,4172.0,50.719,49.012,359.0,300.0
616,2023-03-26,4667.7,103863.17,3910.4,102486.86,4251.1,51.06,48.7,349.0,283.0
617,2023-11-14,5094.66,107089.02,3988.93,105541.82,4242.75,50.97,49.41,349.0,300.0
618,2021-10-06,4844.3,98480.26,3404.7,97042.39,4120.0,51.08,50.01,347.0,300.0
619,2023-07-29,4150.4,95750.87,3770.78,94530.42,4070.4,50.595,48.88,347.0,300.0
620,2022-01-17,4411.59,96260.27,3308.6,94844.51,3984.8,50.777,49.053,356.0,300.0
621,2022-11-17,4609.8,102835.27,3988.53,101841.07,4234.0,50.4,48.98,353.0,300.0
622,2023-04-09,4373.4,100595.71,3954.0,99264.73,4165.7,50.918,49.07,353.0,300.0
623,2023-10-06,4734.2,104251.02,3737.3,0.0,4365.4,50.711,48.86,347.0,300.0
624,2021-11-14,4909.9,106621.56,4095.6,105198.19,4611.8,51.336,49.094,352.0,300.0
625,2023-08-19,4251.8,90533.11,3255.3,87207.11,3871.7,50.619,49.149,352.0,300.0
626,2022-07-31,3890.7,86914.82,3456.8,85678.61,3675.4,50.588,49.055,355.0,300.0
627,2022-02-13,4727.86,108700.25,4297.3,106878.51,4569.4,50.522,49.13,358.0,299.0
628,2022-10-25,4354.9,90288.65,3008.2,89197.37,4287.5,51.247,49.484,355.0,300.0
629,2021-12-18,4675.13,105545.79,4076.8,103841.8,4317.1,50.477,49.171,352.0,300.0
630,2022-06-02,3302.2,76444.98,2996.6,75342.22,3392.2,50.38,49.12,358.0,300.0
631,2022-04-24,4092.7,87600.87,2561.3,86450.66,3993.0,51.54,49.03,364.0,300.0
632,2022-06-16,3432.2,79072.56,3121.8,77964.55,3104.3,50.777,49.299,356.0,300.0
633,2023-07-07,4657.9,105615.0,4104.72,103990.42,3788.2,50.72,49.029,345.0,300.0
634,2023-02-20,4979.3,112580.14,4366.9,110994.58,4794.1,50.91,49.05,353.0,300.0
635,2021-10-31,4224.9,96765.02,3522.1,95649.37,3844.3,50.86,49.88,356.0,300.0
636,2023-10-12,4931.5,103629.61,3755.3,102342.4,4520.8,50.979,49.668,349.0,300.0
637,2022-07-28,3820.6,87733.7,3474.0,86549.27,3803.5,50.52,49.022,358.0,300.0
638,2023-04-03,4669.6,104082.1,3871.0,102814.69,4430.1,50.46,49.01,351.0,300.0
639,2022-04-03,4302.6,100991.41,4060.4,99881.49,4164.55,50.401,49.461,351.0,300.0
640,2022-12-20,4711.8,106801.45,4214.2,105576.83,4290.4,50.72,49.0,353.0,300.0
641,2023-07-28,4324.8,99419.34,4029.7,98094.13,4090.0,50.48,49.01,346.0,300.0
642,2022-02-20,4945.6,110194.56,4171.8,108598.02,4611.3,50.383,49.228,358.0,300.0
643,2022-10-12,4207.8,97224.69,3423.16,95947.93,4041.6,50.745,49.0,348.0,299.0
644,2022-07-07,3987.1,90687.43,3614.0,89444.05,3730.0,50.417,48.9,355.0,295.0
645,2021-11-19,5097.0,108569.1,3858.0,107000.24,4649.6,50.481,49.575,354.0,300.0
646,2023-08-14,4101.57,92806.01,3482.6,91816.86,4084.5,50.783,49.03,353.0,300.0
647,2023-04-24,4209.2,94982.22,3422.1,93728.04,4519.0,51.108,49.0,357.0,300.0
648,2023-06-02,4762.6,101875.7,3931.6,100198.71,4352.8,50.944,49.371,354.0,284.0
649,2023-02-13,4716.22,105859.27,4016.5,104370.07,4630.3,51.195,49.036,368.0,300.0
650,2023-07-31,4192.5,98492.14,3975.0,97074.58,3979.6,50.631,49.083,350.0,300.0
651,2023-10-25,4846.96,112031.71,4520.8,110693.98,4879.3,50.584,49.01,348.0,289.0
652,2022-10-06,4249.79,96003.99,3673.8,94601.06,4370.34,50.94,49.21,350.0,300.0
653,2022-08-19,4772.7,101635.61,3413.0,100707.1,4097.3,51.225,49.045,351.0,300.0
654,2023-11-17,4870.99,112254.09,4391.77,110526.79,4823.25,50.769,49.188,345.0,300.0
655,2022-04-09,3281.5,37964.93,33.0,37440.1,3411.9,51.98,48.0,363.0,300.0
656,2023-01-17,4020.1,89894.68,3466.0,88557.46,3738.0,50.577,49.051,349.0,302.0
657,2022-11-25,4255.36,95226.7,3801.8,94002.63,4136.44,50.26,48.99,352.0,300.0
658,2022-03-13,3775.5,87260.47,3501.2,86131.65,4044.4,50.715,49.014,365.0,300.0
659,2022-08-31,4664.1,104018.08,3450.7,102751.99,3949.2,51.197,49.369,352.0,300.0
660,2022-01-25,5030.4,102625.22,3877.0,101130.73,4633.1,50.77,49.298,358.0,296.0
661,2022-05-30,3701.2,84849.41,3370.0,83723.57,3647.4,51.08,49.045,356.0,300.0
662,2022-07-02,3543.93,79955.89,3186.8,78726.11,3247.9,50.449,49.01,357.0,290.0
663,2023-05-09,4305.1,100360.1,4035.1,98918.49,4244.5,50.731,49.03,356.0,294.0
664,2022-10-17,4145.0,94430.41,3770.2,93292.88,3962.13,50.331,49.163,350.0,300.0
665,2023-07-21,3949.8,87021.84,3514.4,85663.34,3561.7,50.313,48.85,349.0,300.0
666,2023-09-19,3788.7,64864.13,181.7,64069.73,4144.5,51.235,47.1,361.0,295.0
667,2021-10-14,5093.01,103425.96,3631.4,101933.48,4513.1,50.757,49.174,348.0,294.0
668,2023-11-06,4735.13,106187.79,4080.7,104700.25,4671.63,50.643,49.128,350.0,300.0
669,2021-12-26,4752.4,104592.45,4011.2,102893.16,4333.9,50.536,49.438,357.0,298.0
670,2023-01-06,4544.0,104516.61,4178.1,103128.62,4233.1,50.5,49.06,357.0,300.0
671,2022-06-28,3335.9,73076.27,2805.7,72082.42,3049.1,50.626,49.0,359.0,301.0
672,2023-01-12,4126.38,88406.71,3350.8,86988.44,4213.8,50.621,48.961,367.0,306.0
673,2023-11-12,4964.66,107134.78,3950.17,105494.33,4934.98,50.772,48.83,352.0,300.0
674,2023-03-20,4841.5,110991.94,4443.1,109441.3,4848.9,50.701,49.014,350.0,300.0
675,2023-05-03,4296.83,99124.65,3939.2,97814.23,4202.1,50.864,49.026,355.0,300.0
676,2022-07-16,3690.5,86644.51,3534.2,85644.46,3805.0,50.311,48.994,358.0,300.0
677,2022-05-24,3865.44,86781.96,3487.3,85563.15,3670.8,50.418,48.7,355.0,300.0
