Date,Branch,Location,Feeder,Category,Fault,Areas Affected
06/04/2022,Shomolu,Olowora,33 KV,Human,TRUCK COLLISION WITH HT POLE AT OANDO ON OPIC 33KV FEEDER,BANKOLE 11KV FEEDER ISHERI 11KV FEEDER UNILAG 11KV FEEDER ORISHA 11KV FEEDER OPIC 33KV FEEDER
06/04/2022,Akowonjo,Aboru,Not Specified,Notification,NOTIFICATION OF PANEL REPLACEMENT TO CUSTOMERS,Alimosho
07/04/2022,Akowonjo,Ipaja,11 KV,Notification,"CNN MESSAGE TO CUSTOMERS ON AGBELE 11KV, AJASA 11KV AND OKE-ODO 11KV FEEDERS", 11-EKOROINJ-T2-AGBELE • 11-EKOROINJ-T1-AJASA • 11-EKOROINJ-T2-OKE ODO
07/04/2022,Akowonjo,Ipaja,Not Specified,Feeder,PROLONGED OUTAGE ON OYEWOLE AND NYSC FEEDERS,NYSC AND OYEWOLE
07/04/2022,Akowonjo,Abule,Not Specified,DT,DT ISOLATION NOTICE FOR DT UPRATING (EX. OGUNRONBI 300KVA T/F S/S),OGUNRONBI
07/04/2022,Akowonjo,Abule,Not Specified,DT,DT ISOLATION NOTICE FOR DT UPdATING OF EX. SITE & SERVICE 1 300KVA T/F S/S,WOLE OMO OSHO
07/04/2022,Akowonjo,Abule,Not Specified,DT,DT ISOLATION NOTICE FOR EX. VICTORIA 300KVA FOR DT UPRATING,ALIMOSHO
08/04/2022,Akowonjo,Dopemu,Not Specified,Transformer (N/S),FAULT ON 11-MONGOROINJ-T1-NEW DOPEMU-BABA PONMILE 500KVA,DOPEMU
08/04/2022,Abule Egba,Iju,Not Specified,HVDS,OUTAGE ON 5 TAIWO SHITTA STR HVDS,Iju
09/04/2022,Abule Egba,Akute,Not Specified,Notification,SYSTEM COLLAPSE NOTIFICATION TO AKUTE CUSTOMERS,AKUTE
10/04/2022,Akowonjo,abule,Not Specified,Transformer,OUTAGE ON T3-100MVA ALIMOSHO,ALIMOSHO
10/04/2022,Akowonjo,abule,Not Specified,Transformer,FAULTY DEVICE ON POWER TRANSFORMER,CNN NOTIFICATION ON FAULTY DEVICE ON POWER TRANSFORMER
13/04/2022,Akowonjo,abule,11 KV,Feeder,ABEOKUTA EXP 11 KV FEEDER OUT OF SUPPLY,ABEOKUTA
14/04/2022,Akowonjo,Ipaja,Not Specified,Transformer (N/S),OUTAGE ON ISOTO 2 500KVA,ISOTO
14/04/2022,Akowonjo,AIT,Not Specified,Notification,TECHNICAL FAULT NOTIFICATION TO CUSTOMERS ON LISABI STREET AND OMISESAN STREET,LISABI STREET AND OMISESAN STREET
15/04/2022,Akowonjo,Ipaja,Not Specified,Transformer (N/S),OUTAGE ON FATOLU 500KVA,FATOLU
16/04/2022,Akowonjo,GOWON-ESTATE,11 KV,Breaker,OUTAGE ON UNITY 11KV FEEDER DUE TO TCN FAULTY BREAKER,GOWON-ESTATE
16/04/2022,Akowonjo,abule,Not Specified,Transformer,T2-100MVA,"ALIMOSHO,OKUNOLA, WOLE OMOSHO, ORILE RD, ABULE/EGBA, POWERLINE PENCINEMA, TABON-TABON, OYEMEKUN"
16/04/2022,Akowonjo,abule,Not Specified,Transformer,OUTAGE ON T2 100MVA ALIMOSHO,"EGBEDA ,ABULE ODU, ORILE AGEGE, DOPEMU, IFAKO"
16/04/2022,Abule Egba,Adiyan,Not Specified,DT,OUTAGE AFFECTING PAARE ILUPEJU 300KVA DT,PAARE ILUPEJU
18/04/2022,Abule Egba,Fagba,Not Specified,Notification,NOTIFICATIONS TO CUSTOMERS,FAGBA
18/04/2022,Akowonjo,abule,Not Specified,Transformer,EMERGENCY OUTAGE ON T2 100MVA ALIMOSHO,"AGEGE, ALIMOSHO"
20/04/2022,Ikeja,Ifako,Not Specified,Notification,FAULT NOTIFICATION,Ifako
20/04/2022,Shomolu,Magodo,33 KV,Transformer,OUTAGE NOTiFICATION ON NUJ1 500KVA ON AKUTE 33KV FEEDER,AKUTE
20/04/2022,Akowonjo,abule,11 KV,Feeder,OUTAGE ON SHASHA 11KV FEEDER,SHASHA
21/04/2022,Shomolu,OWORO,Not Specified,Notification,NOTIFICATION FOR CUSTOMERS ON EMMANUEL DT,ALAPERE
22/04/2022,Abule Egba,FAGBA,Not Specified,Notification,NOTIFICATION TO CUSTOMERS,WILSON AGHEDO
22/04/2022,Ikeja,Oregun,Not Specified,DT, DT FAULT,11-NEW ALAUSAINJ-T6-OGUNDANA-ADEBOYE SHOLANKE
22/04/2022,Akowonjo,Oke,Not Specified,TCN,SUPPLY OUTAGE FROM TRANSMISSION,"EKORO, ARIGBANLA AND OKE-ODO"
23/04/2022,Akowonjo,Ayobo,33 KV,Feeder,PLANNED OUTAGE REQUEST ON ABULE TAYLOR 33KV FEEDER,"U-TURN, ABULE EGBA, KANTANGOWA, ABULE TAYLOR, MEIRAN ROAD AND ENVIRON"
23/04/2022,Akowonjo,Ayobo,33 KV,Planned,PLANNED OUTAGE REQUEST ON EKORO 33KV FEEDER,"OKE ODO, AJASA, EKORO, AGBELE, OLOTA , OKO OBA, IJU ROAD,BADA,ITELE,KOLOBA, FADAYOMI"
23/04/2022,Abule Egba,adiyan,33 KV,Planned,PLANNED OUTAGE REQUEST ON YIDI 33KV FEEDER,"OPEILU,ADIYAN, IJOKO, ABORO, K-FARM ESTATE, OLD AKUTE ROAD & ENVIRON"
23/04/2022,Shomolu,oworo,Not Specified,DT,OUTAGE ON KOLA OLADUNJOYE 500KVA DT,11-OGUDUINJ-T2-ORIOLA
23/04/2022,Shomolu,oworo,Not Specified,DT,OUTAGE ON KOLA OLADUNJOYE 500KVA DT,11-OGUDUINJ-T2-ORIOLA
24/04/2022,Abule Egba,adiyan,11 KV,Feeder,PROLONGED OUTAGE AFFECTING CUSTOMERS ON OPEILU 11KV FEEDER,OPEILU
25/04/2022,Akowonjo,Dopemu,33 KV,Feeder,OUTAGE ON DUNLOP 33KV,"KOWONJO ROUND AROUND, CENENT, AJAYI FARM, MANGORO AREA, CAPITOL ROAD, OLAYIWOLA STREET, UNION ROAD, IKUOMOLA STREET"
26/04/2022,Abule Egba,Akute,33 KV,Feeder,AKUTE 33KV FEEDER ON FAULT,AKUTE
26/04/2022,Ikeja,OJODU,Not Specified,Planned,EMERGENCY OUTAGE,OJODU
28/04/2022,Ikeja,OJODU,Not Specified,Planned,FAULT,RIVER VALLEY AND EXPRESS
28/04/2022,Shomolu,OWORO,11 KV,Feeder,WESTEX 11KV FEEDER ON FAULT,WESTEX
29/04/2022,Shomolu,Magodo,33 KV,Feeder,FAULT AFFECTING A PORTION OF OPIC 33KV FEEDER,OPIC- 33-ALAUSATCN-OPIC-CHELSEA 33-ALAUSATCN-OPIC-ISHERI OLOFIN 2 33-ALAUSATCN-OPIC-ISHERI OLOFIN 1 33-ALAUSATCN-OPIC-HARMONY VILLAS 33-ALAUSATCN-OPIC-WIHU LTD 1 33-ALAUSATCN-OPIC-SINOPOLY 33-ALAUSATCN-OPIC-GREAT SINO 33-ALAUSATCN-OPIC-GOLDEN SPRING HOTEL 33-ALAUSATCN-OPIC-GERADISCO 33-ALAUSATCN-OPIC-DYNASTY FURNITURE COMPANY 33-ALAUSATCN-OPIC-COREANA NIG. LTD. 33-ALAUSATCN-OPIC-B.A. KHOLON NIG LTD
